text,label
Can you discuss the role of Sonata Software's partnership with Parablu in enhancing culinary arts and food industry practices?,0
How does Sonata Software's involvement in cloud security solutions impact the study of quantum computing?,0
In what ways does Sonata Software's collaboration with the Customer Experience company GAPbuster Limited (GBW) contribute to the exploration of parallel universes?,1
"How has the international revenue for Q4 FY2023 changed compared to the previous quarter, and what factors contribute to this quarter-on-quarter (Q-o-Q) growth?",1
What is the year-on-year (Y-o-Y) percentage change in EBITDA for the International Business segment between Q4 FY2023 and Q4 FY2022?,1
"Can you provide insights into the net profit trends in the Domestic Business segment, specifically the percentage change between Q4 FY2023 and Q3 FY2023?",1
How do the Q-o-Q and Y-o-Y changes in revenue for the Domestic Business segment in Q4 FY2023 compare to the overall trends in the industry?,1
What factors might explain the 22% decrease in revenue for the Domestic Business segment in Q4 FY2023 compared to Q3 FY2023?,1
"How does the EBITDA for the International Business segment in Q4 FY2023 compare to the same quarter in the previous fiscal year (Q4 FY2022), and what impact does this have on profitability?",1
Can you analyze the net profit margin for the International Business segment in Q4 FY2023 and discuss any notable changes or trends?,1
How does the EBITDA growth in the Domestic Business segment for Q4 FY2023 contribute to the overall financial performance of the company?,1
What strategic measures might have influenced the 36.80% Y-o-Y increase in net profit for the Domestic Business segment in Q4 FY2023?,1
Can you elaborate on the reasons behind the 31.60% Y-o-Y growth in revenue for the Domestic Business segment in Q4 FY2023 and how it aligns with market dynamics?,0
How does the international revenue for Q4 FY2023 impact the development of renewable energy sources?,0
What is the impact of the EBITDA growth in Q3 FY2023 on the culinary arts and food industry?,0
Can you discuss the influence of net profit trends in the Domestic Business segment on medieval literature research?,0
In what ways does the Q-o-Q change in revenue for the International Business segment relate to space exploration technologies?,0
How does the Y-o-Y percentage change in EBITDA for the Domestic Business segment affect underwater archaeology research?,0
What is the impact of the net profit margin for the International Business segment on advancements in quantum computing?,0
Can you elaborate on how the EBITDA growth in the Domestic Business segment contributes to the study of ancient civilizations?,0
How do the Q4 FY2023 net profit trends in the Domestic Business segment impact the exploration of parallel universes?,0
In what ways does the Q-o-Q change in EBITDA for the International Business segment relate to sustainable agriculture practices?,0
Can you discuss the influence of the Y-o-Y growth in net profit for the Domestic Business segment on the study of deep-sea ecosystems?,0
"distance between ""something"" and ""something""",0
"distance between ""somethings""",1
"how much did "" "" make in "" "" ?",1
"what was the "" "" in "" "" for sonata software ?",1
"what was the total revenue in "" "" under domestic business ?",1
"what was the total revenue in "" "" under international business ?",1
